,Author,Title,Lyrics
39,Bruce Springsteen,Point Blank,"Point Blank par Bruce Springsteen\nDo you still say your prayers little darlin' do you go to bed at night\n\n\nPrayin' that tomorrow, everything will be alright\n\n\nBut tommorow's fall in number in number one by one\n\n\nYou wake up and you're dying you don't even know what from\n\n\n\n\n\nWell they shot you point blank you been shot in the back\n\n\nBaby point blank you been fooled this time little girl that's a fact\n\n\nRight between the eyes baby, point blank right between the pretty lies that\n\n\nthey tell\n\n\nLittle girl you fell\n\n\n\n\n\n\n\n\n\nYou grew up where young girls they grow up fast\n\n\nYou took what you were handed and left behind what was asked\n\n\nbut what they asked baby wasn't right you didn't have to live that life,\n\n\nI was gonna be your Romeo you were gonna be my Juliet\n\n\nThese days you don't wait on Romeo's you wait on that welfare check and on all the pretty things that you can't ever have and on all the promises\n\n\n\n\n\nThat always end up point blank, shot between the eyes\n\n\nPoint blank like little white lies you tell to ease the pain\n\n\nYou're walkin' in the sights, girl of point blank\n\n\nand it's one false move and baby the lights go out\n\n\n\n\n\n\n\n\n\nOnce I dreamed we were together again baby you and me\n\n\nBack home in those old clubs the way we used to be\n\n\nWe were standin' at the bar it was hard to hear\n\n\nThe band was playin' loud and you were shoutin' somethin' in my ear\n\n\nYou pulled my jacket off and as the drummer counted four\n\n\nYou grabbed my hand and pulled me out on the floor\n\n\nYou just stood there and held me, then you started dancin' slow\n\n\nAnd as I pulled you tighter I swore I'd never let you go\n\n\n\n\n\nWell I saw you last night down on the avenue\n\n\n\n\n\n\nYour face was in the shadows but I knew that it was you\n\n\nYou were standin' in the doorway out of the rain\n\n\nYou didn't answer when I called out your name\n\n\nYou just turned, and then you looked away like just another stranger waitin' to get blown away\n\n\n\n\n\nPoint blank, right between the eyes\n\n\nPoint blank, right between the pretty lies you fell\n\n\nPoint blank, shot right through the heart\n\n\n\n\n\nYea point blank, you've been twisted up till you've become just another part of it\n\n\nPoint blank, you're walkin' in the sights\n\n\nPoint blank, livin' one false move just one false move away\n\n\nPoint blank, they caught you in their sights\n\n\n\n\n\n\nPoint blank, did you forget how to love, girl, did you forget how to fight.\n\n\nPoint blank they must have shot you in the head\n\n\nCause point blank, bang bang baby you're dead."
40,Bruce Springsteen,You’re Missing,
41,Bruce Springsteen,Reason to Believe,"er a dead dog lyin' by the highway in a ditch\nHe's lookin' down kinda puzzled pokin' that dog with a stick\nGot his car door flung open he's standin' out on highway 31\nLike if he stood there long enough that dog'd get up and run\nStruck me kinda funny seem kinda funny sir to me\nStill at the end of every hard earned day people find some reason to believe\n\nNow Mary Lou loved Johnny with a love mean and true\nShe said \""Baby I'll work for you every day and bring my money home to you\""\nOne day he up and left her and ever since that\nShe waits down at the end of that dirt road for young Johnny to come back\nStruck me kinda funny seemed kind of funny sir to me\nHow at the end of every hard earned day people find some reason to believe\n\nTake a baby to the river Kyle William they called him\nWash the baby in the water take away little Kyle's sin\nIn a whitewash shotgun shack an old man passes away take his body to the graveyard and over him they pray Lord won't you tell us\nTell us what does it mean\nStill at the end of every hard earned day people find some reason to believe\n\nCongregation gathers down by the riverside\nPreacher stands with his Bible groom stands waitin' for his bride\nCongregation gone and the sun sets behind a weepin' willow tree\nGroom stands alone and watches the river rush on so effortlessly\nWonderin' where can his baby be still at the end of every hard earned day people find some reason to believe"
42,Bruce Springsteen,Loose Ends,"eets when we had no place to go\nI remember how my heart beat when you said I love you so\nThen little by little we choked out all the life that our love could hold\nOh no\n\nIt's like we had a noose and baby without check\nWe pulled until it grew tighter around our necks\nEach one waiting for the other, darlin', to say when\nWell baby you can meet me tonight on the loose end\n\nWe didn't count tomorrows, we took what we could and baby we ran\nThere was no time for sorrow, every place we went I held your hand\nAnd when the night closed in I was sure your kisses told me all I had to know\nBut oh no\n\nIt's like we had a noose and baby without check\nWe pulled until it grew tighter around our necks\nEach one waiting for the other, darlin', to say when\nWell baby you can meet me tonight on the loose end\n\nOur love has fallen around us like we said it never could\nWe saw it happen to all the others but to us it never would\nWell how could something so bad, darling, come from something that was so good\nI don't know"
43,Bruce Springsteen,Girls in Their Summer Clothes,"Girls In Their Summer Clothes par Bruce Springsteen\nWell, the streetlights shine down on Blessing Avenue\n\n\nLovers they walk by, holding hands two by two\n\n\nA breeze crosses the porch, bicycle spokes spin 'round\n\n\nMy jackets on, I'm out the door\n\n\nAnd tonight I'm gonna burn this town down\n\n\n\n\n\nThe girls in their summer clothes\n\n\nIn the cool of the evening light\n\n\nThe girls in their summer clothes, pass me by\n\n\n\n\n\nA kids rubber ball smacks\n\n\nOff the gutter 'neath the lamp light\n\n\nBig bank clock chimes\n\n\nOff go the sleepy front porch lights\n\n\n\n\n\n\nDowntown the stores alight as the evening's underway\n\n\nThings been a little tight\n\n\nBut I know their gonna turn my way\n\n\n\n\n\nAnd the girls in their summer clothes\n\n\nIn the cool of the evening light\n\n\nThe girls in their summer clothes, pass me by\n\n\n\n\n\nFrankie's diner, an old friend on the edge of town\n\n\nThe neon sign spinning round\n\n\nLike a cross over the lost and found\n\n\nThe fluorescent lights flick over Pop's Grill\n\n\nShaniqua brings the coffee and asks \""Fill?\""\n\n\nAnd says \""Penny for your thoughts now my boy, Bill\""\n\n\n\n\n\n\n\n\n\nShe went away, she cut me like a knife\n\n\nHello beautiful thing, maybe you could save my life\n\n\nIn just a glance, down here on magic street\n\n\nLoves a fool's dance\n\n\nAnd I ain't got much sense, but I still got my feet\n\n\n\n\n\nThe girls in their summer clothes\n\n\nIn the cool of the evening light\n\n\nThe girls in their summer clothes, pass me by\n\n\n\n\n\nThe girls in their summer clothes\n\n\nIn the cool of the evening light\n\n\nThe girls in their summer clothes, pass me by."
44,Bruce Springsteen,Lucky Town,"owded, clothes got too tight\nAnd I don't know just where I'm going tonight\nOut where the sky's been cleared by a good hard rain\nThere's somebody calling my secret name\n\nI'm going down to Lucky Town\nGoing down to Lucky Town\nI wanna lose these blues I've found\nDown in Lucky Town\nBaby, down in Lucky Town\n\nHad a coat of fine leather and snakeskin boots\nBut that coat always had a thread hanging loose\nWell, I pulled it one night and to my surprise\nIt led me right past your house and on over the rise\n\nI'm going down to Lucky Town\nDown to Lucky Town\nI wanna lose these blues I've found\nDown in Lucky Town\nBaby, down in Lucky Town\n\nWell, I had some victory that was just failure in deceit\nNow the joke's coming up through the soles of my feet\nI been a long time walking on fortune's cane\nWell, tonight, I'm stepping lightly and feeling no pain\n\nWell, here's to your good looks, baby, now here's to my health\nHere's to the loaded places that we take ourselves\nWhen it comes to luck, you make your own\nTonight, I got dirt on my hands but I'm building me a new home\n\nTake me down to Lucky Town\nDown to Lucky Town\nI'm gonna lose these blues I've found\nDown in Lucky Town\nBaby, down in Lucky Town\n\nI'm going down to Lucky Town\nDown to Lucky Town\nI'm gonna lose these blues I've found\nDown in Lucky Town\nBaby, down in Lucky Town\n..."
45,Bruce Springsteen,Independence Day,"ow, it's getting late\nNothing we can say is gonna change anything now\nI'll be leaving in the morning from St. Mary's Gate\nWe wouldn't change this thing even if we could somehow\n\n'Cause the darkness of this house has got the best of us\nThere's a darkness in this town that's got us too\nBut they can't touch me now and you can't touch me now\nThey ain't gonna do to me what I watched them do to you\n\nSo say goodbye, it's Independence Day\nIt's Independence Day all down the line\nJust say goodbye, it's Independence Day\nIt's Independence Day this time\n\nNow, I don't know what it always was with us\nWe chose the words and yeah, we drew the lines\nThere was just no way this house could hold the two of us\nI guess that we were just too much of the same kind\n\nWell say goodbye, it's Independence Day\nIt's Independence Day, all boys must run away\nSo say goodbye, it's Independence Day\nAll men must make their way, come Independence Day\n\nNow the rooms are all empty down at Frankie's joint\nAnd the highway, she's deserted clear down to Breaker's Point\nThere's a lot of people leaving town now, leaving their friends, their homes\nAt night they walk that dark and dusty highway all alone\n\nWell Papa, go to bed now, it's getting late\nNothing we can say can change anything now\nBecause there's just different people coming down here now and they see things in different ways\nAnd soon everything we've known will just be swept away\n\nSo say goodbye, it's Independence Day\nPapa, now I know the things you wanted that you could not say\nBut won't you just say goodbye, it's Independence Day\nI swear I never meant to take those things away"
46,Bruce Springsteen,Streets of Fire," and you don't care anymore\nAnd your eyes are tired and there's someone at your door\nAnd you realize you wanna let go\nAnd the weak lies and the cold walls you embrace\nEat at your insides, and baby I ain’t no liar, I walk\n\nStreets of fire\nStreets of fire\nStreets of fire\nStreets of fire\n\nNow I'm wandering, a loser down the track\nAnd I'm lying, but babe I can't go back\n'Cause in the darkness I hear somebody call my name\nAnd when you realize how they tricked you this time\nAnd it's all lies but I'm strung out on the wire\n\nIn these\nStreets of fire\nStreets of fire\nStreets of fire\n\nI live now, only with strangers\nI talk to only strangers\nI walk with angels that have no place\nAnd so looking at my face\nDon't a come little close, cause I'm strung out on my wire, cross\n\nStreets of fire\nStreets of fire\nStreets of fire\nStreets of fire"
47,Bruce Springsteen,Hungry Heart,Hungry Heart par Bruce Springsteen\nGot a wife and kids in Baltimore Jack\n\n\nI went out for a ride and I never went back\n\n\nLike a river that don't know where it's flowing\n\n\nI took a wrong turn and I just kept going\n\n\n\n\n\nEverybody's got a hungry heart\n\n\nEverybody's got a hungry heart\n\n\nLay down your money and you play your part\n\n\nEverybody's got a hungry heart\n\n\n\n\n\nI met her in a Kingstown bar\n\n\nWe fell in love I knew it had to end\n\n\nWe took what we had and we ripped it apart\n\n\nNow here I am down in Kingstone again\n\n\n\n\n\nEverybody's got a hungry heart...\n\n\n\n\n\n\n\n\n\nEverybody needs a place to rest\n\n\nEverybody wants to have a home\n\n\nDon't make no difference what nobody says\n\n\nAin't nobody like to be alone\n\n\n\n\n\nEverybody's got a hungry heart...
48,Bruce Springsteen,I’m Goin’ Down,
49,Bruce Springsteen,One Step Up,One Step Up par Bruce Springsteen\nWoke up this morning my house was cold\n\n\nChecked out the furnace she wasn't burnin'\n\n\nWent out and hoped in my old Ford\n\n\nHit the engine but she ain't turnin'\n\n\nWe've given each other some hard lessons lately\n\n\nBut we ain't learnin'\n\n\nWe're the same sad story that's a fact\n\n\nOne step up and two steps back\n\n\n\n\n\nBird on a wire outside my motel room\n\n\nBut he ain't singin'\n\n\nGirl in white outside a church in June\n\n\nBut the church bells they ain't ringing\n\n\nI'm sitting here in this bar tonight\n\n\nBut all I'm thinkin' is\n\n\nI'm the same old story same old act\n\n\n\n\n\n\nOne step up and two steps back\n\n\n\n\n\nIt's the same thing night on night\n\n\nWho's wrong baby who's right\n\n\nAnother fight and I slam the door on\n\n\nAnother battle in our dirty little war\n\n\nWhen I look at myself I don't see\n\n\nThe man I wanted to be\n\n\nSomewhere along the line I slipped off track\n\n\nI'm caught movin' one step up and two steps back\n\n\n\n\n\nThere's a girl across the bar\n\n\nI get the message she's sending\n\n\nMmm she ain't lookin' to married\n\n\nAnd me well honey I'm pretending\n\n\nLast night I dreamed I held you in my arms\n\n\nThe music was never-ending\n\n\nWe danced as the evening sky faded to black\n\n\n\n\n\n\nOne step up and two steps back
0,Aretha Franklin,Jump to It (1982),
1,Aretha Franklin,Try a Little Tenderness (1962)," do get weary \nWearing the same shabby dress\nBut to one who's weary\nTry a little\nTry a little tenderness\n\nI may be waiting\nJust anticipating all of the things I may never possess\nBut while I'm waiting\nTry a little\nTry a little tenderness\n\nI may be\nI may be sentimental\nBut I wanna say that I had my griefs and I had my cares\nAnd just a good word\nSoft and gentle\nMakes it\nMakes it easier \nEasier to bear\n\nNow I might forget it\nOh but don't let me forget it\nLove, love my whole happiness\n\nIt's so, so easy \nBut while I'm waiting\nTry a little\nTry a little tenderness\nTender tender tenderness"
